umol/mol,MicroMolesPerMole [Substance Ratio Or Substance Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,umol/mol,Active,Substance Ratio Or Substance Fraction Units,8/24/2005,MicroMolesPerMole,1,93
mmol/mol,MilliMolesPerMole [Substance Ratio Or Substance Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,mmol/mol,Active,Substance Ratio Or Substance Fraction Units,8/24/2005,MilliMolesPerMole,1,94
mmol/mol{Cre},MilliMolesPerMoleCreatinine [Substance Ratio Or Substance Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,mmol/mol Cre,Active,Substance Ratio Or Substance Fraction Units,8/24/2005,MilliMolesPerMoleCreatinine,1,95
umol/mol{Cre},MicroMolesPerMoleCreatinine [Substance Ratio Or Substance Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,umol/mol Cre,Active,Substance Ratio Or Substance Fraction Units,8/24/2005,MicroMolesPerMoleCreatinine,1,96
eq/umol,EquivalentsPerMicroMole [Substance Ratio Or Substance Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,eq/umol,Active,Substance Ratio Or Substance Fraction Units,8/24/2005,EquivalentsPerMicroMole,1,97
eq/mmol,EquivalentsPerMilliMole [Substance Ratio Or Substance Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,eq/mmol,Active,Substance Ratio Or Substance Fraction Units,8/24/2005,EquivalentsPerMilliMole,1,98
{BoneCollagen}eq/mmol{Cre},BoneCollagenEquivalentsPerMilliMoleCreatinine [Substance Ratio Or Substance Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,BCE/mmol Cre,Active,Substance Ratio Or Substance Fraction Units,8/24/2005,BoneCollagenEquivalentsPerMilliMoleCreatinine,1,99
{BoneCollagen}eq/umol{Cre},BoneCollagenEquivalentsPerMicroMoleCreatinine [Substance Ratio Or Substance Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,BCE/umol Cre,Active,Substance Ratio Or Substance Fraction Units,8/24/2005,BoneCollagenEquivalentsPerMicroMoleCreatinine,1,100
%{vol},VolumePercent [Volume Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,Volume %,Active,Volume Fraction Units,8/24/2005,VolumePercent,1,101
%{Oxygen},PercentOxygen [Volume Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,% Oxygen,Active,Volume Fraction Units,8/24/2005,PercentOxygen,1,102
mL/dL,MilliLitersPerDeciLiter [Volume Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,cc/dL,Active,Volume Fraction Units,8/24/2005,MilliLitersPerDeciLiter,1,103
%{NormalPooledPlasma},PercentNormalPooledPlasma [Catalytic Fraction Or Arbitrary Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,% Normal Pooled Plasma,Active,Catalytic Fraction Or Arbitrary Fraction Units,8/24/2005,PercentNormalPooledPlasma,1,104
%{Activity},PercentActivity [Catalytic Fraction Or Arbitrary Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,% Activity,Active,Catalytic Fraction Or Arbitrary Fraction Units,8/24/2005,PercentActivity,1,105
%{BasalActivity},PercentBasalActivity [Catalytic Fraction Or Arbitrary Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,% Basal Activity,Active,Catalytic Fraction Or Arbitrary Fraction Units,8/24/2005,PercentBasalActivity,1,106
%{Inhibition},PercentInhibition [Catalytic Fraction Or Arbitrary Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,% Inhibition,Active,Catalytic Fraction Or Arbitrary Fraction Units,8/24/2005,PercentInhibition,1,107
/{Entity},PerEntity [Entitic Number Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,/Entity,Active,Entitic Number Units,8/24/2005,PerEntity,1,108
/100{WBC},Per100WBC [Entitic Number Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,/100 WBCs,Active,Entitic Number Units,8/24/2005,Per100WBC,1,109
/100,Per100 [Entitic Number Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,/100,Active,Entitic Number Units,8/24/2005,Per100,1,110
/100{Spermatozoa},Per100Spermatozoa [Entitic Number Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,/100 Sperm,Active,Entitic Number Units,8/24/2005,Per100Spermatozoa,1,111
/10*12{rbc},PerTrillionRedBloodCells [Entitic Number Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,/10^12 RBCs,Active,Entitic Number Units,8/24/2005,PerTrillionRedBloodCells,1,112
deg,DegreesOfArc [Plane Angle Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,Deg,Active,Plane Angle Units,8/24/2005,DegreesOfArc,1,113
/[arb`U],PerArbitraryUnit [Arbitrary Number Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,/Arbitrary Unit,Active,Arbitrary Number Units,8/24/2005,PerArbitraryUnit,[arb]-1,114
u[iU],MicroInternationalUnit [Arbitrary Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,uIU,Active,Arbitrary Units,8/24/2005,MicroInternationalUnit,[arb],115
[iU],InternationalUnit [Arbitrary Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,IU,Active,Arbitrary Units,8/24/2005,InternationalUnit,[arb],116
10*6.[iU],MillionInternationalUnit [Arbitrary Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,10^6  IU,Active,Arbitrary Units,8/24/2005,MillionInternationalUnit,[arb],117
